Sample_ID	"S1_BAL"	"S1_LA"	"S1_PB"	"S2_BAL"	"S2_LA"	"S2_PB"	"S3_BAL"	"S3_LA"	"S3_PB"	"S4_BAL"	"S4_LA"	"S4_PB"	"S5_BAL"	"S5_LA"	"S5_PB"	"S6_BAL"	"S6_LA"	"S6_PB"	"S7_BAL"	"S7_LA"	"S7_PB"	"S8_BAL"	"S8_LA"	"S8_PB"	"S9_BAL"	"S9_LA"	"S9_PB"	"S10_BAL"	"S10_LA"	"S10_PB"	"S11_BAL"	"S11_LA"	"S11_PB"	"S12_BAL"	"S12_LA"	"S12_PB"	"S13_BAL"	"S13_LA"	"S13_PB"	"S14_BAL"	"S14_LA"	"S14_PB"	"S15_BAL"	"S15_LA"	"S15_PB"	"S16_BAL"	"S16_LA"	"S16_PB"	"S17_BAL"	"S17_LA"	"S17_PB"	"S18_BAL"	"S18_LA"	"S18_PB"	"S19_BAL"	"S19_LA"	"S19_PB"	"S20_BAL"	"S20_LA"	"S20_PB"	"S21_BAL"	"S21_LA"	"S21_PB"
packyears	"packyears: 35.8"	"packyears: 35.8"	"packyears: 35.8"	"packyears: 42"	"packyears: 42"	"packyears: 42"	"packyears: 22.3"	"packyears: 22.3"	"packyears: 22.3"	"packyears: 16.4"	"packyears: 16.4"	"packyears: 16.4"	"packyears: 53.4"	"packyears: 53.4"	"packyears: 53.4"	"packyears: 50.5"	"packyears: 50.5"	"packyears: 50.5"	"packyears: 36.3"	"packyears: 36.3"	"packyears: 36.3"	"packyears: 34.7"	"packyears: 34.7"	"packyears: 34.7"	"packyears: 41.8"	"packyears: 41.8"	"packyears: 41.8"	"packyears: 13.7"	"packyears: 13.7"	"packyears: 13.7"	"packyears: 36"	"packyears: 36"	"packyears: 36"	"packyears: 0"	"packyears: 0"	"packyears: 0"	"packyears: 18"	"packyears: 18"	"packyears: 18"	"packyears: 12.5"	"packyears: 12.5"	"packyears: 12.5"	"packyears: 12"	"packyears: 12"	"packyears: 12"	"packyears: 21.5"	"packyears: 21.5"	"packyears: 21.5"	"packyears: 46.5"	"packyears: 46.5"	"packyears: 46.5"	"packyears: 20.3"	"packyears: 20.3"	"packyears: 20.3"	"packyears: 0"	"packyears: 0"	"packyears: 0"	"packyears: 0"	"packyears: 0"	"packyears: 0"	"packyears: 0"	"packyears: 0"	"packyears: 0"
smoke	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Never"	"smoke: Never"	"smoke: Never"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Former"	"smoke: Former"	"smoke: Former"	"smoke: Current"	"smoke: Current"	"smoke: Current"	"smoke: Never"	"smoke: Never"	"smoke: Never"	"smoke: Never"	"smoke: Never"	"smoke: Never"	"smoke: Never"	"smoke: Never"	"smoke: Never"
copd	"copd: case"	"copd: case"	"copd: case"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: case"	"copd: case"	"copd: case"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: case"	"copd: case"	"copd: case"	"copd: case"	"copd: case"	"copd: case"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: case"	"copd: case"	"copd: case"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: case"	"copd: case"	"copd: case"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"	"copd: cont"
fev1pp	"fev1pp: 78.2"	"fev1pp: 78.2"	"fev1pp: 78.2"	"fev1pp: 110.8"	"fev1pp: 110.8"	"fev1pp: 110.8"	"fev1pp: 118.4"	"fev1pp: 118.4"	"fev1pp: 118.4"	"fev1pp: 106.8"	"fev1pp: 106.8"	"fev1pp: 106.8"	"fev1pp: 80"	"fev1pp: 80"	"fev1pp: 80"	"fev1pp: 108.1"	"fev1pp: 108.1"	"fev1pp: 108.1"	"fev1pp: 49.8"	"fev1pp: 49.8"	"fev1pp: 49.8"	"fev1pp: 102.1"	"fev1pp: 102.1"	"fev1pp: 102.1"	"fev1pp: 105.5"	"fev1pp: 105.5"	"fev1pp: 105.5"	"fev1pp: 81.6"	"fev1pp: 81.6"	"fev1pp: 81.6"	"fev1pp: 97.3"	"fev1pp: 97.3"	"fev1pp: 97.3"	"fev1pp: 97.1"	"fev1pp: 97.1"	"fev1pp: 97.1"	"fev1pp: 91.4"	"fev1pp: 91.4"	"fev1pp: 91.4"	"fev1pp: 98.6"	"fev1pp: 98.6"	"fev1pp: 98.6"	"fev1pp: 114.7"	"fev1pp: 114.7"	"fev1pp: 114.7"	"fev1pp: 64.8"	"fev1pp: 64.8"	"fev1pp: 64.8"	"fev1pp: 108.3"	"fev1pp: 108.3"	"fev1pp: 108.3"	"fev1pp: 132.4"	"fev1pp: 132.4"	"fev1pp: 132.4"	"fev1pp: 92.5"	"fev1pp: 92.5"	"fev1pp: 92.5"	"fev1pp: 104.4"	"fev1pp: 104.4"	"fev1pp: 104.4"	"fev1pp: 98.9"	"fev1pp: 98.9"	"fev1pp: 98.9"
fev1_fvc	"fev1_fvc: 0.67"	"fev1_fvc: 0.67"	"fev1_fvc: 0.67"	"fev1_fvc: 0.83"	"fev1_fvc: 0.83"	"fev1_fvc: 0.83"	"fev1_fvc: 0.81"	"fev1_fvc: 0.81"	"fev1_fvc: 0.81"	"fev1_fvc: 0.8"	"fev1_fvc: 0.8"	"fev1_fvc: 0.8"	"fev1_fvc: 0.53"	"fev1_fvc: 0.53"	"fev1_fvc: 0.53"	"fev1_fvc: 0.73"	"fev1_fvc: 0.73"	"fev1_fvc: 0.73"	"fev1_fvc: 0.42"	"fev1_fvc: 0.42"	"fev1_fvc: 0.42"	"fev1_fvc: 0.68"	"fev1_fvc: 0.68"	"fev1_fvc: 0.68"	"fev1_fvc: 0.81"	"fev1_fvc: 0.81"	"fev1_fvc: 0.81"	"fev1_fvc: 0.76"	"fev1_fvc: 0.76"	"fev1_fvc: 0.76"	"fev1_fvc: 0.6"	"fev1_fvc: 0.6"	"fev1_fvc: 0.6"	"fev1_fvc: 0.8"	"fev1_fvc: 0.8"	"fev1_fvc: 0.8"	"fev1_fvc: 0.76"	"fev1_fvc: 0.76"	"fev1_fvc: 0.76"	"fev1_fvc: 0.71"	"fev1_fvc: 0.71"	"fev1_fvc: 0.71"	"fev1_fvc: 0.86"	"fev1_fvc: 0.86"	"fev1_fvc: 0.86"	"fev1_fvc: 0.66"	"fev1_fvc: 0.66"	"fev1_fvc: 0.66"	"fev1_fvc: 0.82"	"fev1_fvc: 0.82"	"fev1_fvc: 0.82"	"fev1_fvc: 0.82"	"fev1_fvc: 0.82"	"fev1_fvc: 0.82"	"fev1_fvc: 0.77"	"fev1_fvc: 0.77"	"fev1_fvc: 0.77"	"fev1_fvc: 0.8"	"fev1_fvc: 0.8"	"fev1_fvc: 0.8"	"fev1_fvc: 0.84"	"fev1_fvc: 0.84"	"fev1_fvc: 0.84"
bmi	"bmi: 25.2"	"bmi: 25.2"	"bmi: 25.2"	"bmi: 46.4"	"bmi: 46.4"	"bmi: 46.4"	"bmi: 25.66"	"bmi: 25.66"	"bmi: 25.66"	"bmi: 34.68"	"bmi: 34.68"	"bmi: 34.68"	"bmi: 22.74"	"bmi: 22.74"	"bmi: 22.74"	"bmi: 32.66"	"bmi: 32.66"	"bmi: 32.66"	"bmi: 25.69"	"bmi: 25.69"	"bmi: 25.69"	"bmi: 23.19"	"bmi: 23.19"	"bmi: 23.19"	"bmi: 34.94"	"bmi: 34.94"	"bmi: 34.94"	"bmi: 24.16"	"bmi: 24.16"	"bmi: 24.16"	"bmi: 26.06"	"bmi: 26.06"	"bmi: 26.06"	"bmi: 23.68"	"bmi: 23.68"	"bmi: 23.68"	"bmi: 32.4"	"bmi: 32.4"	"bmi: 32.4"	"bmi: 31.81"	"bmi: 31.81"	"bmi: 31.81"	"bmi: 23.09"	"bmi: 23.09"	"bmi: 23.09"	"bmi: 24.69"	"bmi: 24.69"	"bmi: 24.69"	"bmi: 31.72"	"bmi: 31.72"	"bmi: 31.72"	"bmi: 27.74"	"bmi: 27.74"	"bmi: 27.74"	"bmi: 28.37"	"bmi: 28.37"	"bmi: 28.37"	"bmi: 31.86"	"bmi: 31.86"	"bmi: 31.86"	"bmi: 30.82"	"bmi: 30.82"	"bmi: 30.82"
pctemph	"pctemph: 1.80457"	"pctemph: 1.80457"	"pctemph: 1.80457"	"pctemph: 1.46786"	"pctemph: 1.46786"	"pctemph: 1.46786"	"pctemph: NA"	"pctemph: NA"	"pctemph: NA"	"pctemph: 0.227983"	"pctemph: 0.227983"	"pctemph: 0.227983"	"pctemph: 13.9188"	"pctemph: 13.9188"	"pctemph: 13.9188"	"pctemph: 0.89709"	"pctemph: 0.89709"	"pctemph: 0.89709"	"pctemph: 17.5717"	"pctemph: 17.5717"	"pctemph: 17.5717"	"pctemph: 1.92514"	"pctemph: 1.92514"	"pctemph: 1.92514"	"pctemph: 1.12745"	"pctemph: 1.12745"	"pctemph: 1.12745"	"pctemph: 7.04439"	"pctemph: 7.04439"	"pctemph: 7.04439"	"pctemph: 10.8487"	"pctemph: 10.8487"	"pctemph: 10.8487"	"pctemph: 1.18803"	"pctemph: 1.18803"	"pctemph: 1.18803"	"pctemph: 5.14597"	"pctemph: 5.14597"	"pctemph: 5.14597"	"pctemph: 1.28994"	"pctemph: 1.28994"	"pctemph: 1.28994"	"pctemph: 0.285573"	"pctemph: 0.285573"	"pctemph: 0.285573"	"pctemph: 1.43471"	"pctemph: 1.43471"	"pctemph: 1.43471"	"pctemph: 0.285715"	"pctemph: 0.285715"	"pctemph: 0.285715"	"pctemph: 0.847531"	"pctemph: 0.847531"	"pctemph: 0.847531"	"pctemph: 0.28409"	"pctemph: 0.28409"	"pctemph: 0.28409"	"pctemph: 0.478721"	"pctemph: 0.478721"	"pctemph: 0.478721"	"pctemph: 0.797983"	"pctemph: 0.797983"	"pctemph: 0.797983"
perc15	"perc15: 110"	"perc15: 110"	"perc15: 110"	"perc15: 88"	"perc15: 88"	"perc15: 88"	"perc15: NA"	"perc15: NA"	"perc15: NA"	"perc15: 104"	"perc15: 104"	"perc15: 104"	"perc15: 52"	"perc15: 52"	"perc15: 52"	"perc15: 105"	"perc15: 105"	"perc15: 105"	"perc15: 47"	"perc15: 47"	"perc15: 47"	"perc15: 77"	"perc15: 77"	"perc15: 77"	"perc15: 90"	"perc15: 90"	"perc15: 90"	"perc15: 74"	"perc15: 74"	"perc15: 74"	"perc15: 56"	"perc15: 56"	"perc15: 56"	"perc15: 76"	"perc15: 76"	"perc15: 76"	"perc15: 89"	"perc15: 89"	"perc15: 89"	"perc15: 77"	"perc15: 77"	"perc15: 77"	"perc15: 90"	"perc15: 90"	"perc15: 90"	"perc15: 81"	"perc15: 81"	"perc15: 81"	"perc15: 96"	"perc15: 96"	"perc15: 96"	"perc15: 85"	"perc15: 85"	"perc15: 85"	"perc15: 110"	"perc15: 110"	"perc15: 110"	"perc15: 112"	"perc15: 112"	"perc15: 112"	"perc15: 86"	"perc15: 86"	"perc15: 86"
adj_density	"adj_density: 90.899776597"	"adj_density: 90.899776597"	"adj_density: 90.899776597"	"adj_density: 91.483144135"	"adj_density: 91.483144135"	"adj_density: 91.483144135"	"adj_density: NA"	"adj_density: NA"	"adj_density: NA"	"adj_density: 96.94316716"	"adj_density: 96.94316716"	"adj_density: 96.94316716"	"adj_density: 51.388860999"	"adj_density: 51.388860999"	"adj_density: 51.388860999"	"adj_density: 84.074229175"	"adj_density: 84.074229175"	"adj_density: 84.074229175"	"adj_density: 44.666143967"	"adj_density: 44.666143967"	"adj_density: 44.666143967"	"adj_density: 67.422608079"	"adj_density: 67.422608079"	"adj_density: 67.422608079"	"adj_density: 97.712352757"	"adj_density: 97.712352757"	"adj_density: 97.712352757"	"adj_density: 54.978440637"	"adj_density: 54.978440637"	"adj_density: 54.978440637"	"adj_density: 66.894334276"	"adj_density: 66.894334276"	"adj_density: 66.894334276"	"adj_density: 62.361709441"	"adj_density: 62.361709441"	"adj_density: 62.361709441"	"adj_density: 73.540032534"	"adj_density: 73.540032534"	"adj_density: 73.540032534"	"adj_density: 77.561396777"	"adj_density: 77.561396777"	"adj_density: 77.561396777"	"adj_density: 87.270173647"	"adj_density: 87.270173647"	"adj_density: 87.270173647"	"adj_density: 76.546442448"	"adj_density: 76.546442448"	"adj_density: 76.546442448"	"adj_density: 94.678130038"	"adj_density: 94.678130038"	"adj_density: 94.678130038"	"adj_density: 88.027589024"	"adj_density: 88.027589024"	"adj_density: 88.027589024"	"adj_density: NA"	"adj_density: NA"	"adj_density: NA"	"adj_density: NA"	"adj_density: NA"	"adj_density: NA"	"adj_density: NA"	"adj_density: NA"	"adj_density: NA"
pi10	"pi10: 2.94"	"pi10: 2.94"	"pi10: 2.94"	"pi10: NA"	"pi10: NA"	"pi10: NA"	"pi10: NA"	"pi10: NA"	"pi10: NA"	"pi10: 1.6"	"pi10: 1.6"	"pi10: 1.6"	"pi10: 1.82"	"pi10: 1.82"	"pi10: 1.82"	"pi10: 2.86"	"pi10: 2.86"	"pi10: 2.86"	"pi10: 2.34"	"pi10: 2.34"	"pi10: 2.34"	"pi10: 2.11"	"pi10: 2.11"	"pi10: 2.11"	"pi10: 1.85"	"pi10: 1.85"	"pi10: 1.85"	"pi10: 1.52"	"pi10: 1.52"	"pi10: 1.52"	"pi10: 1.89"	"pi10: 1.89"	"pi10: 1.89"	"pi10: 1.63"	"pi10: 1.63"	"pi10: 1.63"	"pi10: 1.58"	"pi10: 1.58"	"pi10: 1.58"	"pi10: 2.05"	"pi10: 2.05"	"pi10: 2.05"	"pi10: 1.45"	"pi10: 1.45"	"pi10: 1.45"	"pi10: 2.36"	"pi10: 2.36"	"pi10: 2.36"	"pi10: 1.72"	"pi10: 1.72"	"pi10: 1.72"	"pi10: 1.44"	"pi10: 1.44"	"pi10: 1.44"	"pi10: 2.85"	"pi10: 2.85"	"pi10: 2.85"	"pi10: NA"	"pi10: NA"	"pi10: NA"	"pi10: 2.02"	"pi10: 2.02"	"pi10: 2.02"
awt	"awt: 1.442075634"	"awt: 1.442075634"	"awt: 1.442075634"	"awt: NA"	"awt: NA"	"awt: NA"	"awt: NA"	"awt: NA"	"awt: NA"	"awt: 0.7744934363"	"awt: 0.7744934363"	"awt: 0.7744934363"	"awt: 1.1703118885"	"awt: 1.1703118885"	"awt: 1.1703118885"	"awt: 1.1585167947"	"awt: 1.1585167947"	"awt: 1.1585167947"	"awt: 0.879752963"	"awt: 0.879752963"	"awt: 0.879752963"	"awt: 0.9986192975"	"awt: 0.9986192975"	"awt: 0.9986192975"	"awt: 1.0082314303"	"awt: 1.0082314303"	"awt: 1.0082314303"	"awt: 0.9768734562"	"awt: 0.9768734562"	"awt: 0.9768734562"	"awt: 1.1300381017"	"awt: 1.1300381017"	"awt: 1.1300381017"	"awt: 0.7235176167"	"awt: 0.7235176167"	"awt: 0.7235176167"	"awt: 0.8515792488"	"awt: 0.8515792488"	"awt: 0.8515792488"	"awt: 0.8943403953"	"awt: 0.8943403953"	"awt: 0.8943403953"	"awt: 0.8327340288"	"awt: 0.8327340288"	"awt: 0.8327340288"	"awt: 1.0714395037"	"awt: 1.0714395037"	"awt: 1.0714395037"	"awt: 0.6588944197"	"awt: 0.6588944197"	"awt: 0.6588944197"	"awt: 0.7660407617"	"awt: 0.7660407617"	"awt: 0.7660407617"	"awt: 1.1647641867"	"awt: 1.1647641867"	"awt: 1.1647641867"	"awt: NA"	"awt: NA"	"awt: NA"	"awt: 0.9861349358"	"awt: 0.9861349358"	"awt: 0.9861349358"
wallareapct	"wallareapct: 62.9137695"	"wallareapct: 62.9137695"	"wallareapct: 62.9137695"	"wallareapct: NA"	"wallareapct: NA"	"wallareapct: NA"	"wallareapct: NA"	"wallareapct: NA"	"wallareapct: NA"	"wallareapct: 38.603989933"	"wallareapct: 38.603989933"	"wallareapct: 38.603989933"	"wallareapct: 45.72654215"	"wallareapct: 45.72654215"	"wallareapct: 45.72654215"	"wallareapct: 60.629061383"	"wallareapct: 60.629061383"	"wallareapct: 60.629061383"	"wallareapct: 49.244674033"	"wallareapct: 49.244674033"	"wallareapct: 49.244674033"	"wallareapct: 47.897800417"	"wallareapct: 47.897800417"	"wallareapct: 47.897800417"	"wallareapct: 42.918088917"	"wallareapct: 42.918088917"	"wallareapct: 42.918088917"	"wallareapct: 42.52585146"	"wallareapct: 42.52585146"	"wallareapct: 42.52585146"	"wallareapct: 54.71107925"	"wallareapct: 54.71107925"	"wallareapct: 54.71107925"	"wallareapct: 37.65808235"	"wallareapct: 37.65808235"	"wallareapct: 37.65808235"	"wallareapct: 42.89321672"	"wallareapct: 42.89321672"	"wallareapct: 42.89321672"	"wallareapct: 44.91110355"	"wallareapct: 44.91110355"	"wallareapct: 44.91110355"	"wallareapct: 37.4659745"	"wallareapct: 37.4659745"	"wallareapct: 37.4659745"	"wallareapct: 50.316305817"	"wallareapct: 50.316305817"	"wallareapct: 50.316305817"	"wallareapct: 36.48347095"	"wallareapct: 36.48347095"	"wallareapct: 36.48347095"	"wallareapct: 37.0241855"	"wallareapct: 37.0241855"	"wallareapct: 37.0241855"	"wallareapct: 57.437314967"	"wallareapct: 57.437314967"	"wallareapct: 57.437314967"	"wallareapct: NA"	"wallareapct: NA"	"wallareapct: NA"	"wallareapct: 49.376797383"	"wallareapct: 49.376797383"	"wallareapct: 49.376797383"
wbc	"wbc: 5.7"	"wbc: 5.7"	"wbc: 5.7"	"wbc: 6.2"	"wbc: 6.2"	"wbc: 6.2"	"wbc: 4.3"	"wbc: 4.3"	"wbc: 4.3"	"wbc: 7.4"	"wbc: 7.4"	"wbc: 7.4"	"wbc: 8.4"	"wbc: 8.4"	"wbc: 8.4"	"wbc: 7.5"	"wbc: 7.5"	"wbc: 7.5"	"wbc: 6.7"	"wbc: 6.7"	"wbc: 6.7"	"wbc: 6.33"	"wbc: 6.33"	"wbc: 6.33"	"wbc: 5"	"wbc: 5"	"wbc: 5"	"wbc: 5.5"	"wbc: 5.5"	"wbc: 5.5"	"wbc: 5.8"	"wbc: 5.8"	"wbc: 5.8"	"wbc: 5.3"	"wbc: 5.3"	"wbc: 5.3"	"wbc: 7.5"	"wbc: 7.5"	"wbc: 7.5"	"wbc: 7.4"	"wbc: 7.4"	"wbc: 7.4"	"wbc: 5.6"	"wbc: 5.6"	"wbc: 5.6"	"wbc: 8.7"	"wbc: 8.7"	"wbc: 8.7"	"wbc: 7.9"	"wbc: 7.9"	"wbc: 7.9"	"wbc: 3.8"	"wbc: 3.8"	"wbc: 3.8"	"wbc: 9.6"	"wbc: 9.6"	"wbc: 9.6"	"wbc: 9.2"	"wbc: 9.2"	"wbc: 9.2"	"wbc: 7"	"wbc: 7"	"wbc: 7"
neutrophl_pct	"neutrophl_pct: 52"	"neutrophl_pct: 52"	"neutrophl_pct: 52"	"neutrophl_pct: 51"	"neutrophl_pct: 51"	"neutrophl_pct: 51"	"neutrophl_pct: 37"	"neutrophl_pct: 37"	"neutrophl_pct: 37"	"neutrophl_pct: 52"	"neutrophl_pct: 52"	"neutrophl_pct: 52"	"neutrophl_pct: 56"	"neutrophl_pct: 56"	"neutrophl_pct: 56"	"neutrophl_pct: 38"	"neutrophl_pct: 38"	"neutrophl_pct: 38"	"neutrophl_pct: 58"	"neutrophl_pct: 58"	"neutrophl_pct: 58"	"neutrophl_pct: 71"	"neutrophl_pct: 71"	"neutrophl_pct: 71"	"neutrophl_pct: 39"	"neutrophl_pct: 39"	"neutrophl_pct: 39"	"neutrophl_pct: 56"	"neutrophl_pct: 56"	"neutrophl_pct: 56"	"neutrophl_pct: 62"	"neutrophl_pct: 62"	"neutrophl_pct: 62"	"neutrophl_pct: 57"	"neutrophl_pct: 57"	"neutrophl_pct: 57"	"neutrophl_pct: 63"	"neutrophl_pct: 63"	"neutrophl_pct: 63"	"neutrophl_pct: 66"	"neutrophl_pct: 66"	"neutrophl_pct: 66"	"neutrophl_pct: 67"	"neutrophl_pct: 67"	"neutrophl_pct: 67"	"neutrophl_pct: 57"	"neutrophl_pct: 57"	"neutrophl_pct: 57"	"neutrophl_pct: 60"	"neutrophl_pct: 60"	"neutrophl_pct: 60"	"neutrophl_pct: 42"	"neutrophl_pct: 42"	"neutrophl_pct: 42"	"neutrophl_pct: 76"	"neutrophl_pct: 76"	"neutrophl_pct: 76"	"neutrophl_pct: 71"	"neutrophl_pct: 71"	"neutrophl_pct: 71"	"neutrophl_pct: 67"	"neutrophl_pct: 67"	"neutrophl_pct: 67"
lymphcyt_pct	"lymphcyt_pct: 38"	"lymphcyt_pct: 38"	"lymphcyt_pct: 38"	"lymphcyt_pct: 35"	"lymphcyt_pct: 35"	"lymphcyt_pct: 35"	"lymphcyt_pct: 53"	"lymphcyt_pct: 53"	"lymphcyt_pct: 53"	"lymphcyt_pct: 38"	"lymphcyt_pct: 38"	"lymphcyt_pct: 38"	"lymphcyt_pct: 35"	"lymphcyt_pct: 35"	"lymphcyt_pct: 35"	"lymphcyt_pct: 50"	"lymphcyt_pct: 50"	"lymphcyt_pct: 50"	"lymphcyt_pct: 28"	"lymphcyt_pct: 28"	"lymphcyt_pct: 28"	"lymphcyt_pct: 18.2"	"lymphcyt_pct: 18.2"	"lymphcyt_pct: 18.2"	"lymphcyt_pct: 51"	"lymphcyt_pct: 51"	"lymphcyt_pct: 51"	"lymphcyt_pct: 35"	"lymphcyt_pct: 35"	"lymphcyt_pct: 35"	"lymphcyt_pct: 23"	"lymphcyt_pct: 23"	"lymphcyt_pct: 23"	"lymphcyt_pct: 27"	"lymphcyt_pct: 27"	"lymphcyt_pct: 27"	"lymphcyt_pct: 28"	"lymphcyt_pct: 28"	"lymphcyt_pct: 28"	"lymphcyt_pct: 26"	"lymphcyt_pct: 26"	"lymphcyt_pct: 26"	"lymphcyt_pct: 23"	"lymphcyt_pct: 23"	"lymphcyt_pct: 23"	"lymphcyt_pct: 28"	"lymphcyt_pct: 28"	"lymphcyt_pct: 28"	"lymphcyt_pct: 31"	"lymphcyt_pct: 31"	"lymphcyt_pct: 31"	"lymphcyt_pct: 40"	"lymphcyt_pct: 40"	"lymphcyt_pct: 40"	"lymphcyt_pct: 17"	"lymphcyt_pct: 17"	"lymphcyt_pct: 17"	"lymphcyt_pct: 22"	"lymphcyt_pct: 22"	"lymphcyt_pct: 22"	"lymphcyt_pct: 23"	"lymphcyt_pct: 23"	"lymphcyt_pct: 23"
monocyt_pct	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 10"	"monocyt_pct: 10"	"monocyt_pct: 10"	"monocyt_pct: 9"	"monocyt_pct: 9"	"monocyt_pct: 9"	"monocyt_pct: 8"	"monocyt_pct: 8"	"monocyt_pct: 8"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 8"	"monocyt_pct: 8"	"monocyt_pct: 8"	"monocyt_pct: 9"	"monocyt_pct: 9"	"monocyt_pct: 9"	"monocyt_pct: 9.2"	"monocyt_pct: 9.2"	"monocyt_pct: 9.2"	"monocyt_pct: 9"	"monocyt_pct: 9"	"monocyt_pct: 9"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 11"	"monocyt_pct: 11"	"monocyt_pct: 11"	"monocyt_pct: 11"	"monocyt_pct: 11"	"monocyt_pct: 11"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 6"	"monocyt_pct: 6"	"monocyt_pct: 6"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 8"	"monocyt_pct: 8"	"monocyt_pct: 8"	"monocyt_pct: 6"	"monocyt_pct: 6"	"monocyt_pct: 6"	"monocyt_pct: 10"	"monocyt_pct: 10"	"monocyt_pct: 10"	"monocyt_pct: 5"	"monocyt_pct: 5"	"monocyt_pct: 5"	"monocyt_pct: 5"	"monocyt_pct: 5"	"monocyt_pct: 5"	"monocyt_pct: 7"	"monocyt_pct: 7"	"monocyt_pct: 7"
eosinphl_pct	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 3"	"eosinphl_pct: 3"	"eosinphl_pct: 3"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 3"	"eosinphl_pct: 3"	"eosinphl_pct: 3"	"eosinphl_pct: 4"	"eosinphl_pct: 4"	"eosinphl_pct: 4"	"eosinphl_pct: 1.3"	"eosinphl_pct: 1.3"	"eosinphl_pct: 1.3"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 3"	"eosinphl_pct: 3"	"eosinphl_pct: 3"	"eosinphl_pct: 4"	"eosinphl_pct: 4"	"eosinphl_pct: 4"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 1"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 4"	"eosinphl_pct: 4"	"eosinphl_pct: 4"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 7"	"eosinphl_pct: 7"	"eosinphl_pct: 7"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 2"	"eosinphl_pct: 3"	"eosinphl_pct: 3"	"eosinphl_pct: 3"
