ENSG.ID	Gene.type	Gene.name	Chromosome
ENSG00000234620	unprocessed_pseudogene	PUDPP1	Y
ENSG00000273693	processed_pseudogene	CDRT15P10	Y
ENSG00000114374	protein_coding	USP9Y	Y
ENSG00000232235	processed_pseudogene	CDY3P	Y
ENSG00000169807	protein_coding	PRY2	Y
ENSG00000234110	unprocessed_pseudogene	TSPY25P	Y
ENSG00000231159	unprocessed_pseudogene	OFD1P8Y	Y
ENSG00000225653	processed_pseudogene	RNF19BPY	Y
ENSG00000229159	unprocessed_pseudogene	TSPY23P	Y
ENSG00000228578	unprocessed_pseudogene	TUBB1P2	Y
ENSG00000231411	unprocessed_pseudogene	DUX4L31	Y
ENSG00000187657	unprocessed_pseudogene	TSPY13P	Y
ENSG00000270242	processed_pseudogene	ACTR3BP1	Y
ENSG00000236477	processed_pseudogene	RPS24P1	Y
ENSG00000129816	lncRNA	TTTY1B	Y
ENSG00000237997	processed_pseudogene	RCC2P2	Y
ENSG00000244246	processed_pseudogene	ZNF736P8Y	Y
ENSG00000234950	unprocessed_pseudogene	RBMY2OP	Y
ENSG00000198692	protein_coding	EIF1AY	Y
ENSG00000234583	unprocessed_pseudogene	TSPY19P	Y
ENSG00000183753	protein_coding	BPY2	Y
ENSG00000225433	unprocessed_pseudogene	MTND1P12	Y
ENSG00000227166	unprocessed_pseudogene	STSP1	Y
ENSG00000235857	processed_pseudogene	CTBP2P1	Y
ENSG00000223955	processed_pseudogene	MTND6P1	Y
ENSG00000237195	processed_pseudogene	DLGAP5P1	Y
ENSG00000237447	processed_pseudogene	CDC27P2	Y
ENSG00000185700	lncRNA	TTTY8B	Y
ENSG00000270455	processed_pseudogene	PABPC1P5	Y
ENSG00000229940	unprocessed_pseudogene	TSPY22P	Y
ENSG00000234385	processed_pseudogene	RCC2P1	Y
ENSG00000226863	transcribed_unprocessed_pseudogene	SHROOM2P1	Y
ENSG00000212855	lncRNA	TTTY2	Y
ENSG00000224408	unprocessed_pseudogene	USP9YP22	Y
ENSG00000233699	lncRNA	TTTY18	Y
ENSG00000259029	unprocessed_pseudogene	DUX4L18	Y
ENSG00000226223	unprocessed_pseudogene	TSPY16P	Y
ENSG00000223744	unprocessed_pseudogene	RBMY2GP	Y
ENSG00000215537	processed_pseudogene	ZNF736P11Y	Y
ENSG00000230476	unprocessed_pseudogene	OFD1P9Y	Y
ENSG00000229745	unprocessed_pseudogene	BPY2DP	Y
ENSG00000227204	unprocessed_pseudogene	RBMY2JP	Y
ENSG00000275828	unprocessed_pseudogene	CHEK2P1	Y
ENSG00000225615	unprocessed_pseudogene	RBMY2UP	Y
ENSG00000230663	lncRNA	FAM224B	Y
ENSG00000232522	unprocessed_pseudogene	ZNF886P	Y
ENSG00000234131	processed_pseudogene	ELOCP8	Y
ENSG00000277519	unprocessed_pseudogene	OFD1P16Y	Y
ENSG00000259247	unprocessed_pseudogene	TTTY25P	Y
ENSG00000224336	unprocessed_pseudogene	FAM197Y1	Y
ENSG00000215583	processed_pseudogene	ASS1P6	Y
ENSG00000274162	processed_pseudogene	SNX18P1Y	Y
ENSG00000229208	unprocessed_pseudogene	RBMY2NP	Y
ENSG00000129845	lncRNA	TTTY1	Y
ENSG00000238154	unprocessed_pseudogene	USP9YP4	Y
ENSG00000233774	unprocessed_pseudogene	MED14P1	Y
ENSG00000232475	unprocessed_pseudogene	HSFY5P	Y
ENSG00000228764	processed_pseudogene	ZNF885P	Y
ENSG00000232226	transcribed_unprocessed_pseudogene	ARSFP1	Y
ENSG00000241200	processed_pseudogene	ZNF736P7Y	Y
ENSG00000228518	processed_pseudogene	SURF6P1	Y
ENSG00000227447	unprocessed_pseudogene	XGY1	Y
ENSG00000274502	processed_pseudogene	ANKRD20A6P	Y
ENSG00000183385	lncRNA	TTTY8	Y
ENSG00000225809	unprocessed_pseudogene	RBMY2KP	Y
ENSG00000237902	unprocessed_pseudogene	TSPY21P	Y
ENSG00000232419	lncRNA	TTTY19	Y
ENSG00000232620	unprocessed_pseudogene	TSPY17P	Y
ENSG00000226906	lncRNA	TTTY4	Y
ENSG00000236786	unprocessed_pseudogene	TSPY15P	Y
ENSG00000232924	processed_pseudogene	ELOCP4	Y
ENSG00000224075	lncRNA	TTTY22	Y
ENSG00000238235	unprocessed_pseudogene	TSPY11P	Y
ENSG00000235649	unprocessed_pseudogene	MXRA5Y	Y
ENSG00000258567	unprocessed_pseudogene	DUX4L16	Y
ENSG00000236424	protein_coding	TSPY10	Y
ENSG00000234179	processed_pseudogene	MTCYBP1	Y
ENSG00000229553	unprocessed_pseudogene	USP9YP17	Y
ENSG00000228240	lncRNA	TTTY17A	Y
ENSG00000234652	processed_pseudogene	AGPAT5P1	Y
ENSG00000243643	unprocessed_pseudogene	TSPY20P	Y
ENSG00000224989	lncRNA	FAM41AY1	Y
ENSG00000131548	lncRNA	TTTY6B	Y
ENSG00000232029	processed_pseudogene	ELOCP15	Y
ENSG00000227830	processed_pseudogene	TRIM60P3Y	Y
ENSG00000226529	processed_pseudogene	MTND1P1	Y
ENSG00000229643	lncRNA	LINC00280	Y
ENSG00000216777	processed_pseudogene	PRRC2CP1	Y
ENSG00000216824	processed_pseudogene	ZNF736P10Y	Y
ENSG00000258992	protein_coding	TSPY1	Y
ENSG00000228850	unprocessed_pseudogene	CDY12P	Y
ENSG00000234850	processed_pseudogene	MTND2P3	Y
ENSG00000224873	unprocessed_pseudogene	CDY13P	Y
ENSG00000229234	unprocessed_pseudogene	RBMY1KP	Y
ENSG00000237563	lncRNA	TTTY21B	Y
ENSG00000225117	unprocessed_pseudogene	ARSDP1	Y
ENSG00000215560	lncRNA	TTTY5	Y
ENSG00000228411	processed_pseudogene	CDY4P	Y
ENSG00000244395	protein_coding	RBMY1D	Y
ENSG00000230727	unprocessed_pseudogene	RBMY2WP	Y
ENSG00000230814	unprocessed_pseudogene	USP9YP24	Y
ENSG00000229236	lncRNA	TTTY10	Y
ENSG00000229518	processed_pseudogene	UBE2V1P3	Y
ENSG00000232730	processed_pseudogene	FAM8A4P	Y
ENSG00000232764	processed_pseudogene	TRIM60P8Y	Y
ENSG00000236131	processed_pseudogene	MED13P1	Y
ENSG00000270073	unprocessed_pseudogene	TSPY6P	Y
ENSG00000227949	processed_pseudogene	CYCSP46	Y
ENSG00000252900	snRNA	RNU6-303P	Y
ENSG00000251766	rRNA_pseudogene	RNA5SP518	Y
ENSG00000243980	misc_RNA	RN7SL702P	Y
ENSG00000252315	rRNA_pseudogene	RNA5SP520	Y
ENSG00000252012	rRNA_pseudogene	RNA5SP521	Y
ENSG00000252173	snRNA	RNU6-109P	Y
ENSG00000251705	rRNA_pseudogene	RNA5-8SP6	Y
ENSG00000252289	rRNA_pseudogene	RNA5SP519	Y
ENSG00000252323	snRNA	RNU6-184P	Y
ENSG00000169953	protein_coding	HSFY2	Y
ENSG00000236429	unprocessed_pseudogene	GPM6BP2	Y
ENSG00000249501	unprocessed_pseudogene	USP9YP2	Y
ENSG00000228193	processed_pseudogene	ELOCP14	Y
ENSG00000248573	transcribed_unprocessed_pseudogene	PRYP6	Y
ENSG00000230904	unprocessed_pseudogene	XKRYP2	Y
ENSG00000238135	unprocessed_pseudogene	USP9YP10	Y
ENSG00000224151	unprocessed_pseudogene	USP9YP28	Y
ENSG00000251970	snRNA	RNU1-41P	Y
ENSG00000238088	unprocessed_pseudogene	OFD1P7Y	Y
ENSG00000217179	processed_pseudogene	MTCYBP2	Y
ENSG00000217896	processed_pseudogene	ZNF839P1	Y
ENSG00000185275	processed_pseudogene	CD24P4	Y
ENSG00000252766	snRNA	RNU6-255P	Y
ENSG00000234529	processed_pseudogene	GAPDHP19	Y
ENSG00000238191	unprocessed_pseudogene	CLUHP1	Y
ENSG00000226353	processed_pseudogene	TAF9P1	Y
ENSG00000226449	unprocessed_pseudogene	CDY5P	Y
ENSG00000225896	processed_pseudogene	ELOCP36	Y
ENSG00000224166	unprocessed_pseudogene	PRYP1	Y
ENSG00000229129	processed_pseudogene	ACTG1P2	Y
ENSG00000223555	unprocessed_pseudogene	USP9YP23	Y
ENSG00000235521	unprocessed_pseudogene	USP9YP27	Y
ENSG00000252513	snRNA	RNU1-128P	Y
ENSG00000224964	unprocessed_pseudogene	TRAPPC2P3	Y
ENSG00000226011	unprocessed_pseudogene	OFD1P1Y	Y
ENSG00000225740	processed_pseudogene	ELOCP6	Y
ENSG00000229138	unprocessed_pseudogene	CDY6P	Y
ENSG00000224485	unprocessed_pseudogene	USP9YP7	Y
ENSG00000226116	unprocessed_pseudogene	USP9YP6	Y
ENSG00000237558	unprocessed_pseudogene	CDY7P	Y
ENSG00000233378	unprocessed_pseudogene	USP9YP34	Y
ENSG00000237616	unprocessed_pseudogene	USP9YP32	Y
ENSG00000224033	unprocessed_pseudogene	CDY8P	Y
ENSG00000230412	processed_pseudogene	ELOCP12	Y
ENSG00000225895	unprocessed_pseudogene	TRAPPC2P8	Y
ENSG00000233120	unprocessed_pseudogene	USP9YP15	Y
ENSG00000252166	snRNA	RNU1-95P	Y
ENSG00000232744	unprocessed_pseudogene	USP9YP16	Y
ENSG00000229465	processed_pseudogene	ACTG1P11	Y
ENSG00000231311	unprocessed_pseudogene	PRYP2	Y
ENSG00000236599	processed_pseudogene	ELOCP26	Y
ENSG00000232899	unprocessed_pseudogene	CDY9P	Y
ENSG00000229302	processed_pseudogene	TAF9P2	Y
ENSG00000228945	unprocessed_pseudogene	CLUHP2	Y
ENSG00000233522	lncRNA	FAM224A	Y
ENSG00000251953	rRNA_pseudogene	RNA5SP522	Y
ENSG00000252667	rRNA_pseudogene	RNA5SP523	Y
ENSG00000249726	unprocessed_pseudogene	TUBB1P1	Y
ENSG00000226362	lncRNA	FAM41AY2	Y
ENSG00000225716	processed_pseudogene	ELOCP13	Y
ENSG00000229406	unprocessed_pseudogene	OFD1P4Y	Y
ENSG00000227494	unprocessed_pseudogene	USP9YP14	Y
ENSG00000252209	snRNA	RNU1-48P	Y
ENSG00000249634	unprocessed_pseudogene	USP9YP5	Y
ENSG00000238067	unprocessed_pseudogene	XKRYP1	Y
ENSG00000233546	unprocessed_pseudogene	PRYP5	Y
ENSG00000230377	processed_pseudogene	ELOCP7	Y
ENSG00000250951	unprocessed_pseudogene	USP9YP1	Y
ENSG00000230458	unprocessed_pseudogene	GPM6BP1	Y
ENSG00000131007	lncRNA	TTTY9B	Y
ENSG00000235479	unprocessed_pseudogene	RAB9AP4	Y
ENSG00000249606	unprocessed_pseudogene	TRAPPC2P7	Y
ENSG00000176728	lncRNA	TTTY14	Y
ENSG00000012817	protein_coding	KDM5D	Y
ENSG00000158270	protein_coding	COLEC12	18
ENSG00000264964	lncRNA	TWSG1-DT	18
ENSG00000265514	lncRNA	LINC01892	18
ENSG00000266441	lncRNA	ARHGAP28-AS1	18
ENSG00000267425	lncRNA	LINC01928	18
ENSG00000263505	processed_pseudogene	SLC25A3P3	18
ENSG00000172468	protein_coding	HSFY1	Y
ENSG00000264575	lncRNA	LINC00526	18
ENSG00000264775	processed_pseudogene	PPIAP14	18
ENSG00000141401	protein_coding	IMPA2	18
ENSG00000176679	protein_coding	TGIF2LY	Y
ENSG00000169800	protein_coding	RBMY1F	Y
ENSG00000231565	processed_pseudogene	NEK2P2	22
ENSG00000215270	processed_pseudogene	TOMM40P2	22
ENSG00000198445	protein_coding	CCT8L2	22
ENSG00000253460	IG_V_pseudogene	IGKV2OR22-3	22
ENSG00000189295	lncRNA	ANKRD62P1-PARP4P3	22
ENSG00000220248	processed_pseudogene	ZNF402P	22
ENSG00000240122	processed_pseudogene	FABP5P11	22
ENSG00000235969	unprocessed_pseudogene	CHEK2P4	22
ENSG00000226444	processed_pseudogene	ACTR3BP7	22
ENSG00000230481	IG_V_pseudogene	IGKV1OR22-5	22
ENSG00000225293	unprocessed_pseudogene	ABCD1P4	22
ENSG00000249288	unprocessed_pseudogene	SLC25A15P5	22
ENSG00000229658	unprocessed_pseudogene	PABPC1P9	22
ENSG00000235343	lncRNA	LINC01665	22
ENSG00000236097	processed_pseudogene	BNIP3P2	22
ENSG00000259271	transcribed_unprocessed_pseudogene	ANKRD62P1	22
ENSG00000184624	unprocessed_pseudogene	ZNF72P	22
ENSG00000234381	unprocessed_pseudogene	MED15P7	22
ENSG00000223875	unprocessed_pseudogene	NBEAP3	22
ENSG00000266613	processed_pseudogene	COP1P1	18
ENSG00000283023	unprocessed_pseudogene	FRG1GP	22
ENSG00000254264	IG_V_pseudogene	IGKV3OR22-2	22
ENSG00000168461	protein_coding	RAB31	18
ENSG00000253691	IG_V_pseudogene	IGKV2OR22-4	22
ENSG00000249263	transcribed_unprocessed_pseudogene	PARP4P3	22
ENSG00000234121	processed_pseudogene	GPM6BP3	22
ENSG00000227367	unprocessed_pseudogene	SLC9B1P4	22
ENSG00000182415	protein_coding	CDY2A	Y
ENSG00000228122	processed_pseudogene	MTND1P17	22
ENSG00000233126	processed_pseudogene	ZNF736P3Y	Y
ENSG00000227251	processed_pseudogene	TRIM60P9Y	Y
ENSG00000224435	unprocessed_pseudogene	NF1P6	22
ENSG00000099725	transcribed_unitary_pseudogene	PRKY	Y
ENSG00000252633	misc_RNA	RN7SKP282	Y
ENSG00000253481	IG_V_pseudogene	IGKV1OR22-1	22
ENSG00000252155	snRNA	RNU6-941P	Y
ENSG00000252472	snRNA	RNU6-521P	Y
ENSG00000224953	processed_pseudogene	SRIP3	Y
ENSG00000233634	processed_pseudogene	GOT2P5	Y
ENSG00000237701	processed_pseudogene	ATP5PFP1	Y
ENSG00000232976	processed_pseudogene	TRIM60P10Y	Y
ENSG00000226270	processed_pseudogene	ZNF736P2Y	Y
ENSG00000099917	protein_coding	MED15	22
ENSG00000227837	processed_pseudogene	TRIM60P11Y	Y
ENSG00000223978	processed_pseudogene	ZNF736P1Y	Y
ENSG00000230819	processed_pseudogene	ZNF736P5Y	Y
ENSG00000185894	protein_coding	BPY2C	Y
ENSG00000265939	processed_pseudogene	UBE2CP2	18
ENSG00000132204	lncRNA	LINC00470	18
ENSG00000228296	lncRNA	TTTY4C	Y
ENSG00000205916	protein_coding	DAZ4	Y
ENSG00000266127	processed_pseudogene	ZNF415P1	18
ENSG00000266251	processed_pseudogene	COX6CP3	18
ENSG00000260913	lncRNA	LINC01254	18
ENSG00000176105	protein_coding	YES1	18
ENSG00000239490	processed_pseudogene	RPS4XP18	18
ENSG00000166974	protein_coding	MAPRE2	18
ENSG00000266809	processed_pseudogene	PPIAP57	18
ENSG00000263627	lncRNA	PPP4R1-AS1	18
ENSG00000215368	processed_pseudogene	BOD1P2	18
ENSG00000129873	protein_coding	CDY2B	Y
ENSG00000251841	snRNA	RNU6-1334P	Y
ENSG00000184895	protein_coding	SRY	Y
ENSG00000237659	processed_pseudogene	RNASEH2CP1	Y
ENSG00000232195	processed_pseudogene	TOMM22P2	Y
ENSG00000129824	protein_coding	RPS4Y1	Y
ENSG00000197705	protein_coding	KLHL14	18
ENSG00000283047	unprocessed_pseudogene	FRG1FP	22
ENSG00000241717	transcribed_unprocessed_pseudogene	VWFP1	22
ENSG00000229163	processed_pseudogene	NAP1L1P2	Y
ENSG00000067646	protein_coding	ZFY	Y
ENSG00000267337	lncRNA	LINC01478	18
ENSG00000211667	IG_V_gene	IGLV3-12	22
ENSG00000211668	IG_V_gene	IGLV2-11	22
ENSG00000184792	protein_coding	OSBP2	22
ENSG00000263862	lncRNA	LINC01543	18
ENSG00000233070	lncRNA	ZFY-AS1	Y
ENSG00000223600	processed_pseudogene	EEF1A1P41	Y
ENSG00000215414	processed_pseudogene	PSMA6P1	Y
ENSG00000265631	processed_pseudogene	BNIP3P3	18
ENSG00000224035	processed_pseudogene	SFPQP1	Y
ENSG00000223915	processed_pseudogene	DPPA2P1	Y
ENSG00000067048	protein_coding	DDX3Y	Y
ENSG00000265273	processed_pseudogene	PGDP1	18
ENSG00000260372	lncRNA	AQP4-AS1	18
ENSG00000178127	protein_coding	NDUFV2	18
ENSG00000234059	unprocessed_pseudogene	CASKP1	Y
ENSG00000183878	protein_coding	UTY	Y
ENSG00000154889	protein_coding	MPPE1	18
ENSG00000276400	processed_pseudogene	VN1R9P	22
ENSG00000233733	processed_pseudogene	H2AZP6	22
ENSG00000232530	lncRNA	LIF-AS1	22
ENSG00000185666	protein_coding	SYN3	22
ENSG00000226573	processed_pseudogene	RPL36P17	22
ENSG00000231933	lncRNA	MYO18B-AS1	22
ENSG00000223704	lncRNA	LINC01422	22
ENSG00000229876	lncRNA	CASC20	20
ENSG00000099985	protein_coding	OSM	22
ENSG00000225479	lncRNA	PLCB1-IT1	20
ENSG00000171873	protein_coding	ADRA1D	20
ENSG00000101282	protein_coding	RSPO4	20
ENSG00000185721	protein_coding	DRG1	22
ENSG00000125903	protein_coding	DEFB129	20
ENSG00000101280	protein_coding	ANGPT4	20
ENSG00000265752	lncRNA	LINC02958	18
ENSG00000101489	protein_coding	CELF4	18
ENSG00000154620	protein_coding	TMSB4Y	Y
ENSG00000129864	protein_coding	VCY	Y
ENSG00000089012	protein_coding	SIRPG	20
ENSG00000187191	protein_coding	DAZ3	Y
ENSG00000235786	lncRNA	ZNRF3-IT1	22
ENSG00000176635	protein_coding	HORMAD2	22
ENSG00000232241	processed_pseudogene	DYNLT3P1	20
ENSG00000171984	protein_coding	SHLD1	20
ENSG00000224711	lncRNA	LINC01706	20
ENSG00000188120	protein_coding	DAZ1	Y
ENSG00000125827	protein_coding	TMX4	20
ENSG00000100225	protein_coding	FBXO7	22
ENSG00000149346	protein_coding	SLX4IP	20
ENSG00000233324	processed_pseudogene	EEF1A1P34	20
ENSG00000178591	protein_coding	DEFB125	20
ENSG00000125820	protein_coding	NKX2-2	20
ENSG00000125845	protein_coding	BMP2	20
ENSG00000101327	protein_coding	PDYN	20
ENSG00000205936	unprocessed_pseudogene	PPP1R12BP2	Y
ENSG00000225189	unprocessed_pseudogene	REREP1Y	Y
ENSG00000215540	transcribed_processed_pseudogene	RBMY2CP	Y
ENSG00000099721	protein_coding	AMELY	Y
ENSG00000100365	protein_coding	NCF4	22
ENSG00000092377	protein_coding	TBL1Y	Y
ENSG00000228888	lncRNA	LINC01428	20
ENSG00000125898	protein_coding	FAM110A	20
ENSG00000173404	protein_coding	INSM1	20
ENSG00000237914	lncRNA	SIRPG-AS1	20
ENSG00000185982	protein_coding	DEFB128	20
ENSG00000228482	lncRNA	LINC01713	20
ENSG00000236526	lncRNA	BTBD3-AS1	20
ENSG00000228293	lncRNA	IDH3B-DT	20
ENSG00000149443	lncRNA	SCP2D1-AS1	20
ENSG00000125788	protein_coding	DEFB126	20
ENSG00000132640	protein_coding	BTBD3	20
ENSG00000232583	unprocessed_pseudogene	GPR143P	Y
ENSG00000205944	protein_coding	DAZ2	Y
ENSG00000244625	lncRNA	MIATNB	22
ENSG00000231824	protein_coding	AKAIN1	18
ENSG00000132874	protein_coding	SLC14A2	18
ENSG00000230866	lncRNA	LINC02558	22
ENSG00000198089	protein_coding	SFI1	22
ENSG00000017797	protein_coding	RALBP1	18
ENSG00000125816	protein_coding	NKX2-4	20
ENSG00000227663	processed_pseudogene	RPL7P2	20
ENSG00000213384	processed_pseudogene	EIF4E2P1	20
ENSG00000089063	protein_coding	TMEM230	20
ENSG00000260389	transcribed_processed_pseudogene	WBP11P1	18
ENSG00000141380	protein_coding	SS18	18
ENSG00000168757	protein_coding	TSPY2	Y
ENSG00000125851	protein_coding	PCSK2	20
ENSG00000197038	unprocessed_pseudogene	RBMY1A3P	Y
ENSG00000232808	lncRNA	TTTY20	Y
ENSG00000225560	transcribed_processed_pseudogene	FAM197Y8	Y
ENSG00000229549	protein_coding	TSPY8	Y
ENSG00000228383	lncRNA	FAM197Y7	Y
ENSG00000188656	unprocessed_pseudogene	TSPY7P	Y
ENSG00000237802	lncRNA	FAM197Y6	Y
ENSG00000228927	protein_coding	TSPY3	Y
ENSG00000088876	protein_coding	ZNF343	20
ENSG00000226555	processed_pseudogene	AGKP1	Y
ENSG00000228787	lncRNA	NLGN4Y-AS1	Y
ENSG00000242389	protein_coding	RBMY1E	Y
ENSG00000235698	processed_pseudogene	PA2G4P2	20
ENSG00000258197	lncRNA	NKX2-2-AS1	20
ENSG00000125815	protein_coding	CST8	20
ENSG00000101230	protein_coding	ISM1	20
ENSG00000165246	protein_coding	NLGN4Y	Y
ENSG00000170367	protein_coding	CST5	20
ENSG00000235208	processed_pseudogene	RPL7AP13	20
ENSG00000237256	processed_pseudogene	PGAM3P	20
ENSG00000224961	lncRNA	LINC01752	20
ENSG00000101463	protein_coding	SYNDIG1	20
ENSG00000234435	lncRNA	LINC01432	20
ENSG00000235544	processed_pseudogene	RPS11P1	20
ENSG00000101323	protein_coding	HAO1	20
ENSG00000257356	processed_pseudogene	BNIP3P6	14
ENSG00000261249	lncRNA	LINC01751	20
ENSG00000231535	lncRNA	LINC00278	Y
ENSG00000239200	processed_pseudogene	RPL22P20	14
ENSG00000244306	transcribed_processed_pseudogene	DUXAP10	14
ENSG00000088930	protein_coding	XRN2	20
ENSG00000229343	unprocessed_pseudogene	CDY22P	Y
ENSG00000232695	processed_pseudogene	ELOCP17	Y
ENSG00000235511	unprocessed_pseudogene	OFD1P18Y	Y
ENSG00000232914	unprocessed_pseudogene	TRAPPC2P4	Y
ENSG00000223655	processed_pseudogene	RAB9AP3	Y
ENSG00000230854	unprocessed_pseudogene	USP9YP20	Y
ENSG00000252625	snRNA	RNU1-40P	Y
ENSG00000227635	unprocessed_pseudogene	USP9YP21	Y
ENSG00000237546	unprocessed_pseudogene	XKRYP6	Y
ENSG00000172283	unprocessed_pseudogene	PRYP4	Y
ENSG00000211825	TR_J_gene	TRDJ1	14
ENSG00000227867	processed_pseudogene	ELOCP11	Y
ENSG00000231716	unprocessed_pseudogene	CDY23P	Y
ENSG00000234744	unprocessed_pseudogene	USP9YP26	Y
ENSG00000233156	unprocessed_pseudogene	HSFY8P	Y
ENSG00000234888	unprocessed_pseudogene	OFD1P15Y	Y
ENSG00000211821	TR_V_gene	TRDV2	14
ENSG00000215507	transcribed_processed_pseudogene	RBMY2DP	Y
ENSG00000249446	TR_J_pseudogene	TRAJ60	14
ENSG00000235014	unprocessed_pseudogene	REREP2Y	Y
ENSG00000229238	unprocessed_pseudogene	PPP1R12BP1	Y
ENSG00000223997	TR_D_gene	TRDD1	14
ENSG00000211836	TR_J_gene	TRAJ54	14
ENSG00000252948	snRNA	RNU6-1314P	Y
ENSG00000233843	processed_pseudogene	CYCSP48	Y
ENSG00000188399	unprocessed_pseudogene	ANKRD36P1	Y
ENSG00000211840	TR_J_gene	TRAJ49	14
ENSG00000129862	protein_coding	VCY1B	Y
ENSG00000211828	TR_J_gene	TRDJ3	14
ENSG00000228985	TR_D_gene	TRDD3	14
ENSG00000139910	protein_coding	NOVA1	14
ENSG00000235451	unprocessed_pseudogene	PNPLA4P1	Y
ENSG00000226611	unprocessed_pseudogene	OFD1P2Y	Y
ENSG00000240438	unprocessed_pseudogene	OFD1P5Y	Y
ENSG00000100346	protein_coding	CACNA1I	22
ENSG00000225624	unprocessed_pseudogene	TBL1YP1	Y
ENSG00000280969	protein_coding	RPS4Y2	Y
ENSG00000224482	unprocessed_pseudogene	HSFY4P	Y
ENSG00000229551	processed_pseudogene	GAPDHP17	Y
ENSG00000226504	processed_pseudogene	TMEM167AP1	Y
ENSG00000237427	processed_pseudogene	TOMM22P1	Y
ENSG00000232634	processed_pseudogene	NEFLP1	Y
ENSG00000183146	lncRNA	PRORY	Y
ENSG00000237269	unprocessed_pseudogene	RBMY2TP	Y
ENSG00000169849	unprocessed_pseudogene	TSPY14P	Y
ENSG00000169811	unprocessed_pseudogene	RBMY1HP	Y
ENSG00000184991	lncRNA	TTTY13	Y
ENSG00000271123	processed_pseudogene	ELOCP5	Y
ENSG00000226042	unprocessed_pseudogene	CDY10P	Y
ENSG00000237023	unprocessed_pseudogene	USP9YP3	Y
ENSG00000229416	unprocessed_pseudogene	USP9YP8	Y
ENSG00000230029	unprocessed_pseudogene	CDY11P	Y
ENSG00000224169	unprocessed_pseudogene	HSFY6P	Y
ENSG00000223407	unprocessed_pseudogene	USP9YP18	Y
